lat,lon
37.6060115,126.9987234
37.6047095,127.0230189
37.6084722,127.0229097
37.6115773,127.0293579
37.6105079,127.028724
37.5855057,127.0094906
37.5856247,127.0234484
37.6008958,127.019369
37.592217,127.0189235
37.5899521,127.0189634
37.5896996,127.0215416
37.59455887,127.0197659
37.5954476,127.0206001
37.5938743,127.0205969
37.59395739,127.0173154
37.5964431,127.0192791
37.5954673,127.0164756
37.58927332,127.0065444
37.5888874,127.0080055
37.5908815,127.0107102
37.5928458,127.0139442
37.59789945,127.0214608
37.5994051,127.0221393
37.5967187,127.0196815
37.5862664,127.0181016
37.5843916,127.0178532
37.5832302,127.0197027
37.5804775,127.0200286
37.5800957,127.0194019
37.5788852,127.0215269
37.6087957,127.0697429
37.6055697,127.0594746
37.6075671,127.0613624
37.606181,127.0517463
37.6060518,127.0532768
37.6084734,127.0660907
37.605882,127.0609631
37.6122297,127.0640641
37.6113462,127.0601415
37.6102485,127.0613604
37.6088755,127.0625114
37.6095472,127.0621111
37.6132906,127.0627425
37.607908,127.0588041
37.60483,127.0609449
37.6065263,127.0598827
37.6067351,127.0516282
37.5939959,127.0002761
37.5885251,127.0040394
37.5929283,126.9926837
37.5938935,127.00148
37.5919792,127.0048324
37.5959672,126.9925244
37.5959234,126.9915056
37.59668662,126.9924087
37.59674428,126.9923181
37.58722615,127.0083829
37.5859511,127.0073798
37.5852153,127.0083962
37.588441,127.0126923
37.5874232,127.0130624
37.5847363,127.0133787
37.5880611,127.0147739
37.6058179,127.049847
37.6064723,127.0461964
37.6062049,127.0439857
37.6091659,127.0454598
37.6044161,127.0353254
37.607731,127.0356564
37.6094515,127.0346035
37.609342,127.0332299
37.6083032,127.0343341
37.6044845,127.0335476
37.6051355,127.044338
37.6015484,127.0426625
37.6034478,127.0405543
37.5878997,127.0235444
37.5870681,127.0245347
37.5840067,127.0220679
37.5829498,127.023163
37.5805787,127.0244156
37.589982,127.0281273
37.5850259,127.0300538
37.5829681,127.0286517
37.6190745,127.0473483
37.6160318,127.0474732
37.615839,127.041248
37.6184231,127.045679
37.6160507,127.0451237
37.6163526,127.0435737
37.6145593,127.0439863
37.6133771,127.0414348
37.6133806,127.039422
37.6129077,127.0447754
37.611721,127.0447668
37.6122701,127.0468144
37.6146134,127.0506991
37.6107939,127.0538329
37.6116295,127.0521936
37.6152397,127.0496989
37.6164628,127.0523202
37.6149221,127.051095
37.6097558,127.0472146
37.6146692,127.060026
37.6145421,127.057538
37.6167135,127.0538077
37.6154633,127.054083
37.6208384,127.0498813
37.6136919,127.0578126
37.6175736,127.0570206
37.6173767,127.0506142
37.601106,127.0208136
37.611155,127.0094518
37.6096402,127.0137259
37.61716809,127.0040821
37.6184236,126.9995073
37.601503,127.018814
37.6020449,127.0171252
37.6022454,127.0149108
37.6103279,127.0150511
37.6064825,127.0125966
37.6083774,127.0133485
37.6073617,127.0117072
37.6082482,127.0121293
37.60266892,127.0110708
37.5991334,127.0053668
37.5991334,127.0053668
37.6065638,127.0090732
37.6073726,127.0076332
37.6085241,127.0079577
37.6104782,127.0037637
37.6100424,127.0032655
37.6134428,127.0113855
37.6114207,127.0087471
37.5918318,127.0380243
37.5962108,127.0342775
37.5976448,127.033122
37.5939256,127.0324963
37.5924952,127.0351895
37.5928572,127.0338429
37.599191,127.0358719
37.5970269,127.0396504
37.5968664,127.0374284
37.5961173,127.0369455
37.5976814,127.0378199
37.5969222,126.9889275
37.5966451,126.9859326
37.5969676,126.9895961
37.5960817,126.9903193
37.5968014,126.9902926
37.5979452,126.9889646
37.5961482,126.9909321
37.5983434,126.9923361
37.5985546,126.9922631
